Sensorname,timestamp,distanceToWaterInMM,timestampInUTC
1SB,1781762761046,224,2026-06-18T06:06:01.046Z
1SB,1781762763414,228,2026-06-18T06:06:03.414Z
2BB,1781762763477,4759,2026-06-18T06:06:03.477Z
2SB,1781762763516,260,2026-06-18T06:06:03.516Z
2BB,1781762764814,3813,2026-06-18T06:06:04.814Z
1SB,1781762764829,140,2026-06-18T06:06:04.829Z
2SB,1781762764845,265,2026-06-18T06:06:04.845Z
1SB,1781762766908,148,2026-06-18T06:06:06.908Z
2BB,1781762766922,2216,2026-06-18T06:06:06.922Z
2SB,1781762766939,261,2026-06-18T06:06:06.939Z
1SB,1781762768985,152,2026-06-18T06:06:08.985Z
2BB,1781762769032,548,2026-06-18T06:06:09.032Z
2SB,1781762769036,261,2026-06-18T06:06:09.036Z
2BB,1781762770944,0,2026-06-18T06:06:10.944Z
2SB,1781762771034,261,2026-06-18T06:06:11.034Z
1SB,1781762771066,152,2026-06-18T06:06:11.066Z
1SB,1781762773051,153,2026-06-18T06:06:13.051Z
2SB,1781762773130,261,2026-06-18T06:06:13.130Z
2BB,1781762773130,0,2026-06-18T06:06:13.130Z
2SB,1781762774845,261,2026-06-18T06:06:14.845Z
2BB,1781762774858,0,2026-06-18T06:06:14.858Z
1BB,1781762774883,626,2026-06-18T06:06:14.883Z
1SB,1781762774945,157,2026-06-18T06:06:14.945Z
2SB,1781762777033,261,2026-06-18T06:06:17.033Z
1SB,1781762777033,157,2026-06-18T06:06:17.033Z
2BB,1781762777158,-1,2026-06-18T06:06:17.158Z
2BB,1781762778977,0,2026-06-18T06:06:18.977Z
1SB,1781762779023,157,2026-06-18T06:06:19.023Z
2SB,1781762779032,261,2026-06-18T06:06:19.032Z
